@RELATION	text2arff

%This file is generated by Text2arff V.5. Text2arff tool was developed by Naturel Language Processing
%group of Yıldız Technical University Computer Engineering Department.
%Look for www.kemik.yildiz.edu.tr for more information.

@ATTRIBUTE	COUNT_CUMLE	REAL
@ATTRIBUTE	COUNT_KELIME	REAL
@ATTRIBUTE	COUNT_HARF	REAL
@ATTRIBUTE	COUNT_DEVRIK_CUMLE	REAL
@ATTRIBUTE	COUNT_EK	REAL
@ATTRIBUTE	COUNT_UC_NOKTA	REAL
@ATTRIBUTE	COUNT_NOKTA	REAL
@ATTRIBUTE	COUNT_SORU_ISARETI	REAL
@ATTRIBUTE	COUNT_UNLEM	REAL
@ATTRIBUTE	COUNT_BOSLUK	REAL
@ATTRIBUTE	COUNT_VIRGUL	REAL
@ATTRIBUTE	COUNT_NOLTALI_VIRGUL	REAL
@ATTRIBUTE	COUNT_IKI_NOKTA	REAL
@ATTRIBUTE	COUNT_TIRNAK	REAL
@ATTRIBUTE	COUNT_CUMLE_BASINA_KELIME	REAL
@ATTRIBUTE	COUNT_CUMLE_BASINA_EK	REAL
@ATTRIBUTE	COUNT_KELIME_BASINA_EK	REAL
@ATTRIBUTE	COUNT_KELIME_BASINA_HARF	REAL
@ATTRIBUTE	class	{0,1,}

@DATA
1.0, 4.0, 36.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 4.0, 0.0, 0.0, 0.0, 1.0, 4.0, 1.0, 0.25, 9.0, 1
1.0, 4.0, 34.0, 0.0, 6.0, 0.0, 0.0, 1.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 4.0, 6.0, 1.5, 8.5, 1
1.0, 11.0, 61.0, 0.0, 4.0, 0.0, 0.0, 0.0, 1.0, 11.0, 0.0, 0.0, 0.0, 1.0, 11.0, 4.0, 0.364, 5.545, 1
1.0, 7.0, 44.0, 0.0, 7.0, 0.0, 0.0, 0.0, 0.0, 7.0, 0.0, 0.0, 0.0, 0.0, 7.0, 7.0, 1.0, 6.286, 1
1.0, 3.0, 21.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 3.0, 1.0, 0.333, 7.0, 1
1.0, 7.0, 58.0, 0.0, 8.0, 0.0, 0.0, 0.0, 0.0, 7.0, 1.0, 0.0, 0.0, 0.0, 7.0, 8.0, 1.143, 8.286, 1
1.0, 3.0, 17.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 5.667, 1
1.0, 7.0, 54.0, 0.0, 3.0, 0.0, 0.0, 0.0, 1.0, 7.0, 1.0, 0.0, 0.0, 1.0, 7.0, 3.0, 0.429, 7.714, 1
1.0, 5.0, 43.0, 0.0, 3.0, 0.0, 0.0, 0.0, 1.0, 5.0, 0.0, 0.0, 0.0, 1.0, 5.0, 3.0, 0.6, 8.6, 1
1.0, 6.0, 42.0, 0.0, 4.0, 0.0, 0.0, 0.0, 1.0, 6.0, 0.0, 0.0, 0.0, 1.0, 6.0, 4.0, 0.667, 7.0, 1
1.0, 8.0, 60.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 8.0, 5.0, 0.625, 7.5, 1
1.0, 3.0, 25.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 3.0, 4.0, 1.333, 8.333, 1
1.0, 5.0, 37.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 5.0, 5.0, 1.0, 7.4, 1
1.0, 4.0, 30.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 2.0, 4.0, 1.0, 0.25, 7.5, 1
1.0, 9.0, 70.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 1.0, 9.0, 3.0, 0.333, 7.778, 1
1.0, 10.0, 67.0, 0.0, 9.0, 0.0, 0.0, 1.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 9.0, 0.9, 6.7, 1
1.0, 16.0, 97.0, 0.0, 8.0, 0.0, 0.0, 0.0, 0.0, 14.0, 0.0, 0.0, 0.0, 0.0, 16.0, 8.0, 0.5, 6.063, 1
1.0, 2.0, 32.0, 0.0, 6.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 2.0, 6.0, 3.0, 16.0, 1
1.0, 4.0, 21.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 5.25, 1
1.0, 4.0, 34.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 1.0, 4.0, 3.0, 0.75, 8.5, 1
1.0, 7.0, 49.0, 0.0, 4.0, 1.0, 3.0, 0.0, 1.0, 7.0, 0.0, 0.0, 0.0, 1.0, 7.0, 4.0, 0.571, 7.0, 1
1.0, 7.0, 59.0, 0.0, 4.0, 0.0, 0.0, 0.0, 1.0, 8.0, 0.0, 0.0, 1.0, 1.0, 7.0, 4.0, 0.571, 8.429, 1
1.0, 7.0, 53.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 6.0, 0.0, 0.0, 0.0, 0.0, 7.0, 0.0, 0.0, 7.571, 1
0.0, 1.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, Infinity, NaN, 0.0, 11.0, 1
1.0, 4.0, 31.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0, 4.0, 0.0, 0.0, 0.0, 1.0, 4.0, 2.0, 0.5, 7.75, 1
1.0, 5.0, 28.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 1.0, 5.0, 1.0, 0.2, 5.6, 1
1.0, 9.0, 58.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 8.0, 1.0, 0.0, 0.0, 1.0, 9.0, 1.0, 0.111, 6.444, 1
1.0, 3.0, 22.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 3.0, 3.0, 1.0, 7.333, 1
2.0, 14.0, 107.0, 0.0, 6.0, 0.0, 1.0, 2.0, 0.0, 13.0, 0.0, 0.0, 0.0, 0.0, 7.0, 3.0, 0.429, 7.643, 1
1.0, 7.0, 41.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0, 6.0, 0.0, 0.0, 1.0, 0.0, 7.0, 2.0, 0.286, 5.857, 1
1.0, 7.0, 62.0, 0.0, 8.0, 0.0, 0.0, 0.0, 0.0, 7.0, 0.0, 0.0, 1.0, 0.0, 7.0, 8.0, 1.143, 8.857, 1
1.0, 7.0, 58.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 7.0, 0.0, 0.0, 0.0, 1.0, 7.0, 4.0, 0.571, 8.286, 1
2.0, 7.0, 44.0, 0.0, 1.0, 1.0, 3.0, 0.0, 0.0, 7.0, 0.0, 0.0, 0.0, 1.0, 3.5, 0.5, 0.143, 6.286, 1
1.0, 3.0, 22.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.0, 3.0, 2.0, 0.667, 7.333, 1
1.0, 3.0, 24.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 3.0, 3.0, 1.0, 8.0, 1
