% This file is created by the Prizma 1.0.
% Prizma is a Turkish Text Classification Environment for Weka 
% and developed by Harun Reşit Zafer with Fatih Universtiy Natural Language Processing Group.
% http://nlp.ceng.fatih.edu.tr/blog/
% hrzafer@fatih.edu.tr
% www.hrzafer.com

@relation dataset

@attribute LengthOfTitle numeric
@attribute NumberCount numeric
@attribute PunctuationColonRatio numeric
@attribute PunctuationCommaRatio numeric
@attribute PunctuationCountOfTitle numeric
@attribute PunctuationDashRatio numeric
@attribute PunctuationDoubleQuoteRatio numeric
@attribute PunctuationEllipsisRatio numeric
@attribute PunctuationExclamationRatio numeric
@attribute PunctuationQuestionMarkRatio numeric
@attribute PunctuationRatio numeric
@attribute PunctuationSemicolonRatio numeric
@attribute StopwordRatio numeric
@attribute WhyCount numeric
@attribute WordCountOfTitle numeric
@attribute WordLengthAverage numeric
@attribute WordLengthVariance numeric
@attribute class {1,0}

% The first 13,224 instances (%66) is used for training
% and the rest 6,812 instances (%34) is used as test data.
% Total instance count is 20,036
% In Weka (to get correct results), select "percentage split %66" and "preserve order for % split" options

@data

56,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0.25,0,8,6.13,2,1
40,0,0,0,1,0,0,0,1,0,0.03,0,0,0,5,7.00,3,1
27,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,3,8.33,2,1
73,0,0,0,1,0,0,0,0,1,0.02,0,0.11,0,9,7.11,9,1
38,1,0,0,1,0,0,0,0,0,0.03,0,0,0,7,6.20,1,1
53,0,0,0,2,0,0,0,0.5,0,0.04,0,0.17,0,7,7.67,12,1
43,0,0,0,1,0,0,0,1,0,0.03,0,0,0,5,7.60,28,1
64,0,0,0,1,0,0,0,0,0,0.02,0,0,0,10,6.11,4,1
58,0,0,0,2,0.5,0,0,0,0.5,0.04,0,0.12,0,9,6.00,7,1
34,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0.17,0,6,4.83,4,1
51,0,0,0,2,0,0,0,0,0,0.04,0,0,0,7,9.00,8,1
69,0,0,0,2,0,0,0,0.5,0,0.03,0,0.11,0,10,6.56,7,1
36,1,0,0.333,3,0,0,0,0,0,0.11,0,0,0,8,4.20,3,1
82,0,0,0,3,0.333,0,0,0.333,0.333,0.04,0,0.09,0,11,6.27,8,1
43,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,6,6.33,5,1
44,0,0,0,1,0,0,0,1,0,0.03,0,0,0,5,7.80,5,1
33,0,0,0,7,0,0,0.2,0.143,0,0.35,0,0.17,0,7,3.33,4,1
92,0,0,0,3,0,0,0,0.333,0.667,0.04,0,0.09,0,11,7.18,1,1
45,0,0,1,1,0,0,0,0,0,0.03,0,0,0,5,8.00,6,1
38,1,0,0,1,0,0,0,0,0,0.03,0,0,0,6,7.50,0,1
59,0,0,0,5,0,0,0.333,0,0,0.1,0,0,0,8,8.17,4,1
26,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,5,4.75,2,1
27,0,0,0,1,0,0,0,0,0,0.04,0,0,0,4,5.75,3,1
68,0,0,0,3,0,0,0,0.333,0,0.05,0,0.11,0,10,6.44,17,1
50,0,0,0,1,0,0,0,0,0,0.02,0,0,0,7,7.33,2,1
56,0,0,0,4,0,0,0.5,0.25,0,0.09,0,0,0,6,7.83,6,1
42,0,0,1,1,0,0,0,0,0,0.03,0,0,0,6,6.00,4,1
39,0,0,0,1,0,0,0,1,0,0.03,0,0,0,4,8.75,5,1
49,0,0,0,4,0,0,0.5,0,0,0.1,0,0.14,0,8,5.57,6,1
25,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,4,5.50,4,1
48,0,0,0,3,0,0,0,0,0,0.07,0,0,0,6,8.20,6,1
75,2,0,0,3,0,0,0,0,0.667,0.05,0,0.33,0,16,4.08,2,1
51,0,0,1,1,0,0,0,0,0,0.02,0,0,0,7,6.29,4,1
61,0,0,0,3,0,0,0,0,0,0.06,0,0.12,0,9,6.38,2,1
60,0,0,0,2,0,0,0,0.5,0,0.04,0,0,0,9,6.38,4,1
40,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,5,7.20,7,1
73,0,0,0,3,0,0,0,0,0,0.05,0,0.22,0,10,6.89,16,1
41,0,0.333,0,3,0,0,0,0,0,0.09,0,0,0,6,8.75,4,1
43,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,6,6.33,3,1
62,0,0,0,2,0,0,0,0,0.5,0.04,0,0,0,9,6.63,5,1
52,0,0,0.167,6,0,0,0.25,0,0,0.15,0,0.29,0,7,5.71,7,1
43,0,0,0.143,7,0,0.286,0.2,0,0,0.22,0,0.2,0,6,6.40,9,1
14,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,2,6.50,1,1
54,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0.12,0,8,5.88,5,1
37,0,0,0,1,0,0,0,0,0,0.03,0,0,0,4,11.33,25,1
83,0,0,0.5,2,0,0,0,0,0,0.03,0,0.15,0,14,5.31,5,1
43,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,4,10.00,9,1
64,1,0,0,1,0,0,0,0,1,0.02,0,0.18,0,11,5.20,2,1
31,0,0,0,2,0,0,0,0.5,0,0.07,0,0,0,4,9.00,0,1
61,0,0.333,0,3,0,0,0,0,0,0.06,0,0.12,0,8,6.38,5,1
64,0,0,0,6,0,0,0,0.167,0,0.12,0,0.22,0,12,5.56,11,1
69,1,0,0,2,0,0,0,0.5,0,0.03,0,0.1,0,11,6.22,11,1
47,0,0,0,2,0,0,0,0,0,0.05,0,0,0,7,8.20,5,1
34,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,5,6.00,6,1
26,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0.2,0,5,4.40,6,1
49,1,0,0,2,0,0,0,0.5,0.5,0.05,0,0.3,0,10,4.00,2,1
51,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,8,6.14,3,1
76,0,0,0,2,0,0,0,0,0,0.03,0,0,0,12,6.50,6,1
48,0,0.333,0,3,0,0,0,0.333,0,0.07,0,0,0,7,6.67,4,1
84,0,0,0,2,0,0,0,0,1,0.03,0,0.17,0,12,5.92,8,1
25,1,0,0,2,0,0,0,0,0,0.1,0,0,0,4,6.33,4,1
47,0,0,0,4,0,0,0.5,0,0.25,0.11,0,0.12,0,8,4.50,5,1
34,1,0,0,1,1,0,0,0,0,0.03,0,0,0,5,8.33,9,1
63,0,0,0,1,0,0,0,0,0,0.02,0,0,0,9,6.88,8,1
75,0,0.5,0,2,0,0,0,0,0,0.03,0,0.1,0,11,6.40,6,1
76,0,0,0,1,0,0,0,1,0,0.01,0,0,0,9,7.44,6,1
48,0,0,0,2,0,0,0,0,0,0.05,0,0.12,0,8,4.88,3,1
52,0,1,0,1,0,0,0,0,0,0.02,0,0,0,7,6.43,4,1
46,0,0,0,1,0,0,0,1,0,0.03,0,0.25,0,8,4.75,3,1
21,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,3,6.33,10,1
33,0,0,0,1,0,0,0,0,0,0.03,0,0,0,5,7.25,2,1
37,0,0,0,1,0,0,0,0,0,0.03,0,0,0,5,8.25,5,1
60,0,0,0,3,0,0,0,0.333,0,0.06,0,0,0,11,5.44,5,1
85,0,0,0,4,0,0,0.5,0,0,0.06,0,0.09,0,12,6.45,6,1
47,0,1,0,1,0,0,0,0,0,0.03,0,0.14,0,7,5.71,3,1
39,0,0,0,3,0,0,0,0.333,0.333,0.09,0,0.6,0,6,6.40,14,1
49,0,0,0,2,0,0,0,0,0,0.05,0,0,0,5,11.00,7,1
54,0,0,0,1,0,0,0,0,0,0.02,0,0,0,9,5.75,2,1
45,0,0,0,3,0,0,1,0,0,0.08,0,0.17,0,6,6.17,6,1
41,0,0,0,2,0,0,0,0.5,0,0.06,0,0,0,6,7.00,18,1
46,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,7,6.33,5,1
63,0,0,0,3,0,0,0,0.333,0,0.06,0,0.25,0,8,6.63,11,1
23,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0.33,0,3,7.00,21,1
54,0,0,0,5,0,0,0.333,0.2,0,0.11,0,0,0,7,7.33,7,1
38,0,0,0,5,0,0,0,0,0,0.13,0,0,0,7,6.00,2,1
27,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,4,6.00,3,1
63,1,0,0,2,0,0,0,0,0.5,0.04,0,0.38,0,9,6.38,6,1
63,0,1,0,1,0,0,0,0,0,0.02,0,0,0,8,6.88,5,1
68,1,0,0,2,0,0,0,0.5,0,0.03,0,0.22,0,10,7.13,12,1
46,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,6,6.83,5,1
53,0,0,0,4,0,0,0.5,0,0,0.09,0,0.14,0,8,6.14,8,1
105,0,0,0,2,0,0,0,0.5,0,0.02,0,0.06,0,16,5.56,5,1
29,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,4,6.50,6,1
